"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10"
"250",NA,NA,NA,NA,NA,"W 158","10 AVE.",NA,NA,NA
"251",NA,NA,NA,NA,NA,"W 98","8 AVE.",NA,NA,NA
"252",NA,NA,NA,NA,NA,"W 78","11 AVE.",NA,NA,NA
"253","H. N J.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","H. ,T. C.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","H. BARMORE H.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","H. R. I.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","H. E I.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",NA,NA,NA,NA,NA,"H 140",NA,NA,NA,NA
"259","H. R. I.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"261","H WESTMINSTER H.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"263","8 BROADWAY,H. E J.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","H. VA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",NA,NA,NA,NA,NA,"W 92","10 AVE.",NA,NA,NA
"266",NA,NA,NA,"6 AVE ,","W 135",NA,NA,NA,NA,NA
"267",NA,NA,NA,"FIH AVE","E 132",NA,NA,NA,NA,NA
"268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","H. R. I.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",NA,NA,NA,NA,NA,"R AVE R","169",NA,NA,NA
"271",NA,NA,NA,"E 120","3 AVE.",NA,NA,NA,NA,NA
"272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","H COLLEGE AVE. R",NA,NA,NA,NA,NA,NA,"COLLEGE",NA,NA
"274","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",NA,NA,NA,NA,NA,"4 AVE","E 132",NA,NA,NA
"277","H. S. C.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",NA,NA,NA,NA,NA,"W 69","10 AVE.",NA,NA,NA
"279",NA,NA,NA,NA,NA,"135","WILLIS AVE.",NA,NA,NA
"280","H. PA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","208 BROADWAY,H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"282","H. TEXAS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"283",NA,NA,NA,NA,NA,"145","3 AVE.",NA,NA,NA
"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","H. REFUSED",NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","H. .",NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"289","H. DOBBS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",NA,NA,NA,NA,NA,"W 156","10 AVE.",NA,NA,NA
"293",NA,NA,NA,NA,NA,"8 AVE.","W",NA,NA,NA
"294",NA,NA,NA,NA,NA,"146","BROOK AVE.",NA,NA,NA
"295",NA,NA,NA,NA,NA,"H 143","3 AVE.",NA,NA,NA
"296","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"297","H. III.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"299",NA,NA,NA,NA,NA,"WILLIS AVE","147",NA,NA,NA
"300",NA,NA,NA,NA,NA,"3 AVE","164",NA,NA,NA
"301","H PA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"303","H. VT.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"305","128 BROADWAY,H. PA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307",NA,NA,NA,NA,NA,"CONCORD AVE","165",NA,NA,NA
"308",NA,NA,NA,NA,NA,"CONCORD AVE","163",NA,NA,NA
"309","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"310","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"311",NA,NA,NA,NA,NA,"W 108","RIVERSIDE AVE.",NA,NA,NA
"312","H L. I. . .N  ,",NA,NA,NA,NA,NA,NA,"L. I.",NA,NA
"313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",NA,NA,NA,"MADISON AVE.","S E.)TH",NA,NA,NA,NA,NA
"318",NA,NA,NA,NA,NA,"W 108","R. VERSIDE AVE.",NA,NA,NA
"319","CUSTOM H.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"320",NA,NA,NA,NA,NA,"BROADWAY","W 100",NA,NA,NA
"321",NA,NA,NA,NA,NA,"W 118","6 AVE.",NA,NA,NA
"322","H. STURTEVANT H.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"324","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"325",NA,NA,NA,NA,NA,"165","R. R. AVE.",NA,NA,NA
"326","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"327","H. VA.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"328",NA,NA,NA,NA,NA,"W 12","7 AVE.",NA,NA,NA
"329","W 161 29,H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"330","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"331","H. IND.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"332",NA,NA,NA,NA,NA,"W 106","9 AVE.",NA,NA,NA
"333",NA,NA,NA,NA,NA,"BROADWAY","W 98",NA,NA,NA
"334","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"335",NA,NA,NA,NA,NA,"H 169","UNION AVE.",NA,NA,NA
"336",NA,NA,NA,NA,NA,"W H6","FIH AVE.",NA,NA,NA
"337",NA,NA,NA,NA,NA,"3 AVE","155",NA,NA,NA
"338",NA,NA,NA,NA,NA,"R AVE R","169",NA,NA,NA
"339","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"340","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"341","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"342",NA,NA,NA,NA,NA,"150","COURTLAND AVE.",NA,NA,NA
"343",NA,NA,NA,NA,NA,"E 111","3 AVE.",NA,NA,NA
"344","H (IO GWICH AVE.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"346","H. BKIYN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","H. BKLYN",NA,NA,NA,NA,NA,NA,"BKLYN",NA,NA
"348",NA,NA,NA,NA,NA,"W 116",". NICHOLAS AVE.",NA,NA,NA
"349","W 258 28,H. L. L",NA,NA,NA,NA,NA,NA,NA,NA,NA
"350",NA,NA,NA,NA,NA,"150","ROBBINS AVE.",NA,NA,NA
"351","H. MO.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","H. CANADA",NA,NA,NA,NA,NA,NA,NA,NA,NA
