,hn_1,best_match
1250,25,SOUTH
1251,NA,
1252,NA,
1253,NA,Y
1254,NA,
1255,NA,
1256,NA,
1257,NA,
1258,103,MAIDEN LN
1259,103,MAIDEN LN
1260,NA,
1261,NA,
1262,NA,FLUSHING AND KENT AVE
1263,NA,
1264,NA,
1265,NA,
1266,NA,
1267,NA,
1268,NA,
1269,NA,
1270,NA,
1271,NA,
1272,NA,
1273,NA,
1274,NA,
1275,NA,
1276,NA,
1277,NA,
1278,NA,
1279,NA,
1280,NA,
1281,NA,
1282,NA,
1283,NA,
1284,NA,
1285,NA,
1286,NA,CLINTON AND DEGRAW
1287,143,MAIDEN LN
1288,NA,
1289,NA,
1290,NA,
1291,NA,
1292,NA,
1293,NA,WATER AND PEARL
1294,NA,
1295,NA,
1296,NA,
1297,NA,ALY AND LOW PL
1298,37,SOUTH WILLIAM
1299,NA,
1300,108,LIVINGSTON
1301,30,MERCHANTS EXCHANGE
1302,NA,
1303,NA,
1304,NA,
1305,NA,WASHINGTON MARKET
1306,83,WASHINGTON
1307,NA,
1308,NA,
1309,NA,
1310,NA,
1311,NA,
1312,NA,
1313,NA,
1314,NA,
1315,NA,LITTLE DOCK
1316,NA,
1317,NA,
1318,NA,
1319,NA,MERCH T 116 WALL
1320,NA,
1321,NA,
1322,NA,
1323,NA,
1324,NA,
1325,NA,
1326,NA,
1327,NA,
1328,NA,
1329,NA,
1330,NA,
1331,NA,
1332,NA,
1333,NA,
1334,NA,
1335,NA,
1336,NA,
1337,NA,
1338,NA,
1339,NA,
1340,NA,
1341,NA,
1342,NA,
1343,NA,
1344,NA,
1345,NA,
1346,17,PARK PL
1347,NA,
1348,NA,
1349,NA,
1350,NA,
1351,NA,
1352,NA,
1353,NA,WATER
1354,NA,
1355,NA,
1356,NA,
1357,NA,
1358,NA,PHOENIX MARKET WILLOUGHBY AND GOLD
1359,NA,
1360,NA,FULTON MARKET
1361,NA,
1362,NA,S ARMSTRONG T W AND F AMERICAN GUTTAPERCHA FACTORY WATER
1363,NA,
1364,NA,
1365,NA,MERCHT19 CORTLANDT
1366,NA,
1367,NA,
1368,42,WATER
1369,NA,
1370,38,SOUTH
1371,NA,
1372,NA,
1373,NA,
1374,57,WATER
1375,NA,
1376,NA,
1377,NA,
1378,NA,
1379,NA,
1380,NA,
1381,NA,
1382,NA,
1383,NA,
1384,NA,
1385,NA,FULTON MARKET
1386,NA,
1387,NA,
1388,NA,
1389,102,NASSAU
1390,NA,
1391,NA,
1392,NA,
1393,NA,
1394,NA,
1395,NA,
1396,NA,
1397,NA,APOTHECARIES HALL 206 FULTON AND PINEAPPLE
1398,NA,
1399,6,LINDEN ROW FULTON
1400,111,BEEKMAN
1401,NA,
1402,NA,
1403,NA,
1404,NA,
1405,8,CEDAR
1406,NA,
1407,NA,
1408,NA,
1409,NA,
1410,NA,
1411,NA,
1412,NA,
1413,NA,
1414,NA,
1415,NA,
1416,NA,
1417,NA,
1418,NA,
1419,NA,
1420,NA,
1421,NA,
1422,NA,
1423,22,PINE
1424,NA,
1425,NA,
1426,NA,
1427,NA,
1428,NA,
1429,NA,
1430,93,WILLIAM
1431,NA,
1432,83,JOHN
1433,80,CHERRY
1434,NA,
1435,NA,
1436,47,FRONT
1437,NA,
1438,NA,
1439,NA,
1440,NA,
1441,NA,
1442,98,PINE
1443,18,CLIFF
1444,NA,
1445,NA,
1446,NA,
1447,NA,
1448,NA,
1449,NA,
1450,NA,
1451,NA,
1452,NA,
1453,NA,
1454,68,WATER
1455,NA,CEDAR AND PEARL
1456,37,SOUTH WILLIAM
1457,73,WILLIAM
1458,130,BROAD
1459,NA,
1460,NA,MERCH T TAILOR 203 BROADWAY
1461,NA,
1462,NA,
1463,NA,
1464,NA,
1465,NA,
1466,137,FRONT
1467,NA,
1468,43,FULTON
1469,NA,STOVE MAN R 45 FULTON
1470,NA,MONTAGUE PL AND CT
1471,NA,
1472,NA,
1473,NA,
1474,NA,
1475,NA,
1476,NA,
1477,NA,
1478,NA,
1479,NA,
1480,NA,
1481,NA,
1482,31,BROAD
1483,NA,
1484,NA,
1485,NA,
1486,NA,
1487,NA,
1488,NA,
1489,NA,
1490,NA,
1491,NA,
1492,NA,
1493,NA,
1494,NA,
1495,NA,
1496,NA,
1497,NA,
1498,NA,
1499,NA,
1500,NA,
1501,NA,
1502,NA,
1503,NA,
1504,NA,
1505,NA,
1506,NA,
1507,NA,
1508,NA,
1509,NA,
1510,NA,
1511,NA,
1512,NA,
1513,NA,
1514,NA,
1515,NA,
1516,123,ATLANTIC
1517,NA,
1518,NA,
1519,NA,
1520,NA,
1521,NA,
1522,NA,
1523,NA,
1524,NA,
1525,NA,
1526,NA,
1527,NA,
1528,NA,
1529,NA,
1530,NA,COLUMBIA AND CONGRESS
1531,NA,
1532,NA,
1533,NA,
1534,NA,
1535,NA,
1536,NA,UNION COFFEE AND SPICE MILLS JAY AND CHAPEL
1537,NA,
1538,NA,WATCR AND FULTON
1539,NA,UNION FOUNDRY AND MACHINE SHOP WATER AND FULTON FERRY
1540,NA,BIRNEY CHARLES FI SEC EAST RIVER INS W CO 61 ALL
1541,NA,
1542,NA,
1543,NA,
1544,NA,PHOENIX BANK
1545,NA,
1546,NA,
1547,NA,
1548,NA,
1549,179,BROADWAY
1550,NA,
1551,NA,
1552,NA,
1553,NA,
1554,NA,
1555,NA,
1556,NA,
1557,NA,
1558,NA,
1559,NA,
1560,NA,
1561,NA,
1562,NA,
1563,4,CORTLANDT
1564,NA,
1565,NA,
1566,NA,
1567,NA,
1568,NA,
1569,NA,PRESIDENT BROOKLYN BANK
1570,NA,
1571,NA,
1572,NA,
1573,60,CATHERINE
1574,NA,
1575,NA,
1576,NA,
1577,NA,
1578,NA,
1579,NA,
1580,NA,
1581,NA,
1582,NA,
1583,NA,
1584,NA,
1585,NA,
1586,NA,
1587,NA,
1588,NA,
1589,NA,
1590,NA,
1591,NA,
1592,NA,
1593,31,HENRY
1594,NA,
1595,NA,
1596,NA,
1597,NA,
1598,NA,
1599,NA,
1600,NA,
1601,NA,
1602,NA,
1603,NA,
1604,NA,
1605,NA,
1606,NA,
