"","hn_1","best_match","street_type","base_function","suffix_true","both_true"
"2914",NA,"","ST",NA,NA,NA
"2915",116,"WILLIAM","ST","116 WILLIAM ST","116 WILLIAM ST","116 WILLIAM ST"
"2916",251,"TAILOR FULTON","ST","251 TAILOR FULTON ST","251 TAILOR FULTON ST","251 TAILOR FULTON ST"
"2917",1,"SOUTH WILLIAM JOHNSON","ST","1 SOUTH WILLIAM JOHNSON ST","1 SOUTH WILLIAM JOHNSON ST","1 SOUTH WILLIAM JOHNSON ST"
"2918",75,"NASSAU","ST","75 NASSAU ST","75 NASSAU ST","75 NASSAU ST"
"2919",NA,"","ST",NA,NA,NA
"2920",NA,"","ST",NA,NA,NA
"2921",NA,"","ST",NA,NA,NA
"2922",104,"JOHN","ST","104 JOHN ST","104 JOHN ST","104 JOHN ST"
"2923",NA,"","ST",NA,NA,NA
"2924",NA,"","ST",NA,NA,NA
"2925",NA,"","ST",NA,NA,NA
"2926",NA,"","ST",NA,NA,NA
"2927",NA,"","ST",NA,NA,NA
"2928",NA,"","ST",NA,NA,NA
"2929",NA,"","ST",NA,NA,NA
"2930",NA,"","ST",NA,NA,NA
"2931",NA,"","ST",NA,NA,NA
"2932",NA,"","ST",NA,NA,NA
"2933",NA,"","ST",NA,NA,NA
"2934",NA,"","ST",NA,NA,NA
"2935",25,"BOERUM","ST","25 BOERUM ST","25 BOERUM ST","25 BOERUM ST"
"2936",NA,"","ST",NA,NA,NA
"2937",NA,"","ST",NA,NA,NA
"2938",NA,"","ST",NA,NA,NA
"2939",NA,"","ST",NA,NA,NA
"2940",NA,"","ST",NA,NA,NA
"2941",NA,"","ST",NA,NA,NA
"2942",NA,"","ST",NA,NA,NA
"2943",38,"WALL","ST","38 WALL ST","38 WALL ST","38 WALL ST"
"2944",299,"FULTON","ST","299 FULTON ST","299 FULTON ST","299 FULTON ST"
"2945",34,"FULTON","ST","34 FULTON ST","34 FULTON ST","34 FULTON ST"
"2946",NA,"ANNS CH","ST","ANNS CH ST","ANNS CH ST","ANNS CH ST"
"2947",NA,"","ST",NA,NA,NA
"2948",38,"BEAVER","AVE","38 BEAVER AVE","38 BEAVER AVE","38 BEAVER AVE"
"2949",NA,"","ST",NA,NA,NA
"2950",NA,"","ST",NA,NA,NA
"2951",NA,"","ST",NA,NA,NA
"2952",NA,"","ST",NA,NA,NA
"2953",NA,"","ST",NA,NA,NA
"2954",NA,"","ST",NA,NA,NA
"2955",NA,"","ST",NA,NA,NA
"2956",NA,"","ST",NA,NA,NA
"2957",NA,"","ST",NA,NA,NA
"2958",NA,"","ST",NA,NA,NA
"2959",NA,"","ST",NA,NA,NA
"2960",NA,"","ST",NA,NA,NA
"2961",NA,"","ST",NA,NA,NA
"2962",NA,"","ST",NA,NA,NA
"2963",NA,"","ST",NA,NA,NA
"2964",NA,"","ST",NA,NA,NA
"2965",164,"FRONT","ST","164 FRONT ST","164 FRONT ST","164 FRONT ST"
"2966",NA,"","ST",NA,NA,NA
"2967",164,"FULTON","ST","164 FULTON ST","164 FULTON ST","164 FULTON ST"
"2968",NA,"","ST",NA,NA,NA
"2969",NA,"","ST",NA,NA,NA
"2970",NA,"","ST",NA,NA,NA
"2971",126,"WATER","ST","126 WATER ST","126 WATER ST","126 WATER ST"
"2972",58,"JOHN","ST","58 JOHN ST","58 JOHN ST","58 JOHN ST"
"2973",NA,"","ST",NA,NA,NA
"2974",NA,"","ST",NA,NA,NA
"2975",NA,"","ST",NA,NA,NA
"2976",NA,"","ST",NA,NA,NA
"2977",NA,"","ST",NA,NA,NA
"2978",NA,"","ST",NA,NA,NA
"2979",NA,"","ST",NA,NA,NA
"2980",NA,"","ST",NA,NA,NA
"2981",NA,"","ST",NA,NA,NA
"2982",NA,"","ST",NA,NA,NA
"2983",NA,"","ST",NA,NA,NA
"2984",NA,"","ST",NA,NA,NA
"2985",NA,"","ST",NA,NA,NA
"2986",NA,"","ST",NA,NA,NA
"2987",NA,"","ST",NA,NA,NA
"2988",NA,"","ST",NA,NA,NA
"2989",NA,"","ST",NA,NA,NA
"2990",NA,"","ST",NA,NA,NA
"2991",NA,"","ST",NA,NA,NA
"2992",73,"MAIN","ST","73 MAIN ST","73 MAIN ST","73 MAIN ST"
"2993",NA,"","ST",NA,NA,NA
"2994",NA,"RAYMOND AND WILLOUGHBY","ST","RAYMOND AND WILLOUGHBY ST","RAYMOND AND WILLOUGHBY ST","RAYMOND AND WILLOUGHBY ST"
"2995",NA,"","ST",NA,NA,NA
"2996",NA,"","ST",NA,NA,NA
"2997",NA,"","ST",NA,NA,NA
"2998",NA,"","ST",NA,NA,NA
"2999",NA,"","ST",NA,NA,NA
"3000",NA,"","ST",NA,NA,NA
"3001",NA,"","ST",NA,NA,NA
"3002",NA,"","ST",NA,NA,NA
"3003",NA,"RAYMOND AND WILLOUGHBY","ST","RAYMOND AND WILLOUGHBY ST","RAYMOND AND WILLOUGHBY ST","RAYMOND AND WILLOUGHBY ST"
"3004",71,"GREENWICH","ST","71 GREENWICH ST","71 GREENWICH ST","71 GREENWICH ST"
"3005",NA,"","ST",NA,NA,NA
"3006",192,"SOUTH","ST","192 SOUTH ST","192 SOUTH ST","192 SOUTH ST"
"3007",NA,"","ST",NA,NA,NA
"3008",1,"FRANKLIN SQ","ST","1 FRANKLIN SQ ST","1 FRANKLIN SQ ST","1 FRANKLIN SQ ST"
"3009",NA,"","ST",NA,NA,NA
"3010",210,"SOUTH","ST","210 SOUTH ST","210 SOUTH ST","210 SOUTH ST"
"3011",NA,"","ST",NA,NA,NA
"3012",NA,"","ST",NA,NA,NA
"3013",NA,"","ST",NA,NA,NA
"3014",15,"WALL","ST","15 WALL ST","15 WALL ST","15 WALL ST"
"3015",NA,"","ST",NA,NA,NA
"3016",NA,"","ST",NA,NA,NA
"3017",NA,"","ST",NA,NA,NA
"3018",315,"GOLD","ST","315 GOLD ST","315 GOLD ST","315 GOLD ST"
