,hn_1,best_match1
877,31,CANNON
878,22,CITY HALL PL
879,8,E 14
880,NA,E 26 AND LEX ALY
881,172,AVE A
882,99,PRINCE
883,205,STANTON
884,67,LIBERTY
885,314,RIVINGTON
886,260,E 25
887,36,BEDFORD
888,0,W 2
889,663,HOUSTN
890,NA,W 31 AVE 9
891,74,READE
892,19,PRINCE
893,188,LUDLOW
894,87,ESSEX
895,229,2
896,80,NASSAU
897,299,6
898,128,
899,7,SPRUCE PROSPECT
900,NA,HICKS AND SACKETT BROOKLYN
901,77,E 27
902,422,GRAND
903,25,ATTORNE
904,244,SECND
905,503,HOUSTON
906,164,CANAL
907,6,W 27
908,83,HESTER
909,131,GOERCK
910,NA,BROOKLYN
911,350,AVE 6
912,24,RIVINGTON
913,378,9
914,69,CANNON
915,5,AVE 3
916,150,LEWIS
917,380,10
918,119,3
919,32,LEWIS
920,88,JOHN
921,271,MONROE
922,91,OLIVER
923,7,ANTHONY
924,122,W 19
925,551,BROOME
926,60,HENRY
927,88,JOHN
928,14,E 18
929,5,CHAMBERS
930,65,FULTON
931,104,GRND
932,47,ANN 198 WILLIAM
933,47,ANN
934,550,GRAND 14 CANNON
935,174,ESSEX
936,21,HAMMOND
937,5,PLATT
938,41,ALLEN
939,58,STANTON
940,94,W BROADWAY
941,127,FRANKLIN
942,NA,HARSIMUS
943,NA,JERSEY CITY
944,85,DEY
945,72,PIKE
946,107,E 27
947,10,LEWIS
948,100,OLIVER
949,29,AVE A
950,341,4
951,33,CANAL
952,504,HUDSON
953,248,RIVINGTON
954,523,HDSN 15 MORTON
955,214,BROOME
956,636,GREENWICH
957,NA,WMSBURG
958,266,MONROE
959,10,MORTON
960,169,HENRY
961,164,CHRISTOPHER
962,534,HUDSON
963,NA,WMSBG CHERRY
964,203,W 24
965,161,MOTT
966,22,MORTON
967,468,HOUSTON
968,22,MORTON
969,262,7
970,61,LEROY
971,419,BROADWAY 93 MORTON
972,44,BROOME
973,149,WOOSTER
974,9,W AND 37
975,113,CHERRY
976,17,VANDEWATER
977,53,WATTS
978,226,WASHGTN
979,NA,E 42D AVE 3
980,152,VARICK
981,37,ROSE
982,27,RIDGE
983,NA,WYCK FF BRKLYN
984,70,G WICH
985,18,WHITE
986,24,PERRY
987,341,BROADWAY
988,131,E 21
989,NA,E 41 AND AVE 1
990,189,AND 191 WATER
991,44,HUBERT
992,46,HUBERT
993,NA,AVE W 8C 29
994,44,SIDNEY PL
995,NA,W 18 AND AVE 6
996,NA,W 37 AND AVE 9
997,267,AVE 3
998,564,GRAND
999,37,BOWERY
1000,267,AVE 3
1001,189,WATER
1002,45,ROOSEVELT
1003,NA,PO KEEPSIE
1004,NA,W 32D AND AVE 7
1005,486,GREENWICH
1006,13,MURRAY
1007,134,FRANKLIN
1008,324,9
1009,105,KING
1010,4,PATCHIN PL
1011,28,WARREN
1012,NA,W 25 AND AVE 7
1013,84,LUDLOW
1014,150,CHRISTOPHER
1015,74,READE
1016,NA,W 40 AND AVE 8
1017,77,NASSAU BKLYN
1018,60,E 27
1019,145,FORSYTH
1020,59214,GRAND
1021,87,THOMPSON
1022,NA,E 24 AND AVE 1
1023,19,HOWARD
1024,46,1
1025,25,CORNELIA
1026,881,BROADWAY
1027,256,FULTON
1028,688,4
1029,204,AVE 3
1030,51,SULLIVAN
1031,116,CHARLES
1032,183,BARROW
1033,13,ROSE
1034,183,AVE C
1035,267,W 1
1036,NA,FT 12949
1037,40,DELANCEY
1038,428,4
1039,390,4
1040,11,PITT
1041,214,W 15
1042,44,FORSYTH
1043,45,ROOSEVELT
1044,58,CEDAR
1045,NA,ESSEX AND RIVINGTON
1046,104,GREENE
1047,202,G WICH
1048,25,CLINTON
1049,15,WALL
1050,127,BROAD
1051,161,CHARLES
1052,101,ATTORNEY
1053,716,4
1054,526,BROOME
1055,681,WASHINGTON
1056,83,GRAND
1057,355,BROOME
1058,41,SCAMMEL
1059,19,DOYERS
1060,201,MULBERT
1061,462,HUDSC
1062,169,W 21
1063,102,ADAMS
1064,66,ROOSEVELT
1065,110,VESEY VESEY
1066,189,10
1067,234,WW Q1
1068,221,VARICK
1069,16,BANK
1070,113,ELDRIDGE
1071,36,ALLEN
1072,NA,BROOKLYN
1073,16,BANK
1074,37,CANNON
1075,110,VESEY
1076,23,COENTIES SLIP
1077,30,AVE 8
1078,25,CLINTON
1079,323,WASHINGTON
1080,119,AVE 4
1081,293,W 19
1082,136,THOMPSO
1083,11,S CLEMENT P
1084,153,ELM
1085,58,FRONT
1086,22,UNIVERSITY P
1087,226,AVE 3
1088,364,10
1089,7,BARELA
1090,23,LEROY
1091,26,PITT
1092,315,W 171
1093,303,6
1094,NA,BROOKLYN
1095,143,ELDRIDGE
1096,45,RIDGE
1097,44,GRAND
1098,341,AVE 6
1099,156,W 15
1100,191,WATE
1101,430,GREENWICH
1102,53,WATTS
1103,73,CANNON
1104,72,CANNON
1105,175,CHATHAM
1106,138,ATTORNEY
1107,NA,W MSBURG
1108,14,DEY
1109,189,WATER
1110,158,W 15
1111,681,WASHGT
1112,264,CANAL
1113,169,W 2IST
1114,256,FULTON
1115,113,ELDRIDGE
1116,1,WASHINGTON SQ
1117,142,NASSAU X 108 GRN
1118,268,DELANCEY
1119,8,DESBROSSES
1120,NA,12 AND AVE C
1121,60,WEST
1122,312,STANTON
1123,120,AVE C
1124,20,LEONARD
1125,88,VANDAM
1126,16,AVE B
1127,NA,E 15 AND AVE
1128,18,W 27
1129,172,DELANCEY
1130,279,3
1131,43,GREENWICH AVE
1132,207,12
1133,NA,W 27 AND ALY 8
1134,48,HAMILTON
1135,74,BROOME
1136,638,HUDSON
1137,NA,BROOKLYN
1138,8,PELHAM
1139,188,LAURENS
1140,222,W 16
1141,13,CLINTON PL
1142,42,SOUTH
1143,108,ELDRDG
1144,15,
1145,152,MADISON
1146,152,MADISON
1147,13,ELIZABETH
1148,166,BROOME
1149,263,DIVISION
1150,223,VARICK
1151,258,STANTON
1152,443,BROADWAY AND 20
1153,443,BROAD
1154,272,G WICH
1155,47,WHITE
1156,181,DIVSN
1157,567,BROADWAY
1158,567,BROADWAY
1159,NA,G F MEYER
1160,47,WHITE
1161,59,AND 61 MAIDEN LN
1162,128,ORCHARD
1163,1164,AVE 7
1164,NA,
1165,NA,LITTLE FALLS
1166,178,7
1167,183,FRANKLIN
1168,24,DELANCEY
1169,25,BRG
1170,NA,W 42D AND AVE 7
1171,773,BROADWAY
