,n_street1,n_street2,c_street1,c_street2,Full Address,H Address,H House Number,H Street Name,H City,Address 2,Address 2 House Number,Address 2 Street Name,Address 2 City
314,,,,,Abbott s collegiate,ABBOTT S COLLEGIATE,,,ABBOTT S COLLEGIATE,,,,
315,,,,,543 Laight,543 LAIGHT,543.0,LAIGHT,,,,,
316,,,,,260 Greene,260 GREENE,260.0,GREENE,,,,,
317,,,,,institution for young,INSTITUTION FOR YOUNG,,,INSTITUTION FOR YOUNG,,,,
318,,,,,170 Attorney,170 ATTORNEY,170.0,ATTORNEY,,,,,
319,,,,,158W 20th,158W 20TH,,,158W 20TH,,,,
320,,,,,349 Cherry,349 CHERRY,349.0,CHERRY,,,,,
321,E 30th,Av 3,,,E 30th n Av 3,E 30TH N AV 3,,,E 30TH N AV 3,,,,
322,,,,,Philadelphia,PHILADELPHIA,,,,,,,
323,,,,,75 Montgomery,75 MONTGOMERY,75.0,MONTGOMERY,,,,,
324,,,W 40th,B way,W 40th c B way,W 40TH C B WAY,,,W 40TH C B WAY,,,,
325,,,,,4 Ludlow,4 LUDLOW,4.0,LUDLOW,,,,,
326,,,,,833 Greenwich and,833 GREENWICH AND,833.0,GREENWICH AND,,,,,
327,,,,,187 Forsyth,187 FORSYTH,187.0,FORSYTH,,,,,
328,,,,,117 Cedar,117 CEDAR,117.0,CEDAR,,,,,
329,W 29th,Av 8,,,W 29th n Av 8,W 29TH N AV 8,,,W 29TH N AV 8,,,,
330,,,,,117 Cedar,117 CEDAR,117.0,CEDAR,,,,,
331,,,,,94 Lewis,94 LEWIS,94.0,LEWIS,,,,,
332,,,,,584 Houston,584 HOUSTON,584.0,HOUSTON,,,,,
333,,,,,24 Second,24 2ND,24.0,SECOND,,,,,
334,,,,,37734 Grand,37734 GRAND,37734.0,GRAND,,,,,
335,,,,,125 Av 2,125 AV 2,125.0,AV 2,,,,,
336,,,,,190 South,190 SOUTH,190.0,SOUTH,,,,,
337,,,,,474 Broadway,474 BROADWAY,474.0,BROADWAY,,,,,
338,,,,,City Hotel,CITY HOTEL,,,CITY HOTEL,,,,
339,,,,,152 Norfolk,152 NORFOLK,152.0,NORFOLK,,,,,
340,,,,,,,,,,,,,
341,,,,,32 Clarkson,32 CLARKSON,32.0,CLARKSON,,,,,
342,,,,,71 Cannon,71 CANNON,71.0,CANNON,,,,,
343,,,,,37 Wooster,37 WOOSTER,37.0,WOOSTER,,,,,
344,,,,,103 Monroe,103 MONROE,103.0,MONROE,,,,,
345,,,,,359 Rivington,359 RIVINGTON,359.0,RIVINGTON,,,,,
